Model,Params,File,Accuracy
arwiki_20230101_w2v_skipgram_nobots.model,"<vocab_size=2,102,375, vector_size=300, top_k=1>",ASAD/Arab_States_Analogy_Dataset_All.txt,54.47
arwiki_20230101_w2v_cbow_nobots.model,"<vocab_size=2,102,375, vector_size=300, top_k=1>",ASAD/Arab_States_Analogy_Dataset_All.txt,53.22
arwiki_20230101_fasttext_skipgram_nobots.model,"<vocab_size=2,102,375, vector_size=300, top_k=1>",ASAD/Arab_States_Analogy_Dataset_All.txt,39.87
arwiki_20230101_fasttext_cbow_nobots.model,"<vocab_size=2,102,375, vector_size=300, top_k=1>",ASAD/Arab_States_Analogy_Dataset_All.txt,22.76
arwiki_20230101_nobots_glove.vectors,"<vocab_size=2,102,375, vector_size=300, top_k=1>",ASAD/Arab_States_Analogy_Dataset_All.txt,38.29
arwiki_20230101_w2v_skipgram_nobots.model,"<vocab_size=2,102,375, vector_size=300, top_k=5>",ASAD/Arab_States_Analogy_Dataset_All.txt,71.84
arwiki_20230101_w2v_cbow_nobots.model,"<vocab_size=2,102,375, vector_size=300, top_k=5>",ASAD/Arab_States_Analogy_Dataset_All.txt,74.47
arwiki_20230101_fasttext_skipgram_nobots.model,"<vocab_size=2,102,375, vector_size=300, top_k=5>",ASAD/Arab_States_Analogy_Dataset_All.txt,56.64
arwiki_20230101_fasttext_cbow_nobots.model,"<vocab_size=2,102,375, vector_size=300, top_k=5>",ASAD/Arab_States_Analogy_Dataset_All.txt,34.34
arwiki_20230101_nobots_glove.vectors,"<vocab_size=2,102,375, vector_size=300, top_k=5>",ASAD/Arab_States_Analogy_Dataset_All.txt,52.11
arwiki_20230101_w2v_skipgram_nobots.model,"<vocab_size=2,102,375, vector_size=300, top_k=10>",ASAD/Arab_States_Analogy_Dataset_All.txt,75.92
arwiki_20230101_w2v_cbow_nobots.model,"<vocab_size=2,102,375, vector_size=300, top_k=10>",ASAD/Arab_States_Analogy_Dataset_All.txt,79.47
arwiki_20230101_fasttext_skipgram_nobots.model,"<vocab_size=2,102,375, vector_size=300, top_k=10>",ASAD/Arab_States_Analogy_Dataset_All.txt,67.43
arwiki_20230101_fasttext_cbow_nobots.model,"<vocab_size=2,102,375, vector_size=300, top_k=10>",ASAD/Arab_States_Analogy_Dataset_All.txt,43.29
arwiki_20230101_nobots_glove.vectors,"<vocab_size=2,102,375, vector_size=300, top_k=10>",ASAD/Arab_States_Analogy_Dataset_All.txt,55.13
